Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Camille,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Xiaolaohu,TOP,1,5,2,0.6,176,6.4,8629,314,21%,0,0,0,8204.19,4458.4,199.75,3546.04,298,16.5%,0.11,75%,20209.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Clid,JUNGLE,1,4,3,1,122,4.4,7307,266,17.8%,0,0,0,7439.14,6105.99,620.65,712.5,270,14.9%,0.15,100%,21580.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Care,MID,2,4,2,1,199,7.2,8710,317,21.2%,0,0,0,9757.88,157.72,9600.16,0,355,19.6%,0.15,100%,20541.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Lwx,ADC,0,4,2,0.5,273,9.9,10770,391,26.2%,0,0,0,16515.47,12037.9,703.5,3774.07,600,33.1%,0.07,50%,15038.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Hang,SUPPORT,0,4,3,0.8,15,0.5,5645,205,13.7%,0,0,0,7922.43,919.47,2983.94,4019.02,288,15.9%,0.11,75%,16269.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,369,TOP,3,1,7,10,242,8.8,14264,518,24.5%,0,0,0,17889.81,12827.7,2909.66,2152.45,650,23.8%,0.36,47.6%,12149.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Kanavi,JUNGLE,10,0,7,Perfect KDA,195,7.1,12883,468,22.1%,0,0,0,20953.54,17124.6,2010.13,1818.81,761,27.8%,0.62,81%,26448.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Yagao,MID,4,1,6,10,218,7.9,11689,425,20.1%,0,0,0,16503.54,1781.19,14560.9,161.45,600,21.9%,0.36,47.6%,13771.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Hope,ADC,4,1,7,11,253,9.2,12087,439,20.7%,0,0,0,15050.3,12155.3,1909,986,547,20%,0.4,52.4%,9836.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,FPX vs JD Gaming,Funplus Phoenix,2 - 1,JD Gaming,WEEK4,12.11,2022-07-02,1,Missing,SUPPORT,0,1,14,14,38,1.4,7342,267,12.6%,0,0,0,4899.23,1268.58,2722.65,908,178,6.5%,0.51,66.7%,11603.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
