,Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,K+A,K+A Per Minute,KP%,CS,CSM,Golds,GPM,GOLD%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,DMG/GOLD,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,WPM,VWPM,WCPM,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
15,Jayce,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,TheShy,TOP,2,1,12,14,14,0.44,0.778,275,8.7,13739,432,0.215,25607.57,22217.0,2967.04,423.53,806,0.402,1.8638598151248271,11756.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
16,Viego,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,SofM,JUNGLE,2,2,12,7,14,0.44,0.778,180,5.7,10945,344,0.171,7546.61,5992.87,872.12,681.62,237,0.11900000000000001,0.6895029693924166,25268.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
17,Ahri,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,Angel,MID,9,1,3,12,12,0.38,0.667,302,9.5,15509,488,0.242,13101.05,672.55,9392.23,3036.27,412,0.20600000000000002,0.8447385389128892,12086.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
18,Kalista,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,huanfeng,ADC,4,0,11,Perfect KDA,15,0.47,0.833,357,11.2,15561,490,0.243,11615.81,9740.97,1486.44,388.4,365,0.182,0.7464693785746417,11491.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
19,Rell,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,1,ON,SUPPORT,1,3,13,4.7,14,0.44,0.778,49,1.5,8249,260,0.129,5786.24,470.41,4168.45,1147.38,182,0.091,0.7014474481755364,13636.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
20,Gangplank,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Flandre,TOP,1,2,3,2.0,4,0.13,0.5710000000000001,301,9.8,12992,423,0.25,19477.11,12533.4,4074.27,2869.44,634,0.29,1.4991617918719213,18031.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
21,Graves,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Jiejie,JUNGLE,0,2,2,1.0,2,0.07,0.28600000000000003,198,6.4,9175,299,0.17600000000000002,10325.26,8855.43,900.36,569.47,336,0.154,1.1253689373297002,16555.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
22,Orianna,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Scout,MID,1,1,3,4.0,4,0.13,0.5710000000000001,303,9.9,11386,370,0.21899999999999997,15102.69,517.3,14570.8,14.59,491,0.225,1.3264263130159846,12178.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
23,Lucian,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Viper,ADC,3,3,2,1.7,5,0.16,0.7140000000000001,272,8.9,11464,373,0.22,17087.93,10564.9,5945.73,577.3,556,0.255,1.4905730983949756,12906.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
24,Nami,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,meiko,SUPPORT,2,5,4,1.2,6,0.2,0.857,13,0.4,6988,227,0.134,5078.6,850.87,3192.84,1034.89,165,0.076,0.7267601602747568,11273.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
25,Fiora,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Xiaolaohu,TOP,6,3,1,2.3,7,0.23,0.5379999999999999,291,9.5,15670,510,0.266,19958.99,12339.3,395.06,7224.63,649,0.42,1.2737070835992343,31284.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
26,Viego,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Clid,JUNGLE,2,1,2,4.0,4,0.13,0.308,171,5.6,9983,325,0.17,6182.29,5118.64,628.65,435.0,201,0.13,0.6192817790243413,24918.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
27,Zoe,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Care,MID,1,1,5,6.0,6,0.2,0.462,249,8.1,11161,363,0.19,10837.13,1010.72,8629.15,1197.26,353,0.228,0.9709819908610339,14061.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
28,Kalista,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Lwx,ADC,4,1,2,6.0,6,0.2,0.462,319,10.4,14547,473,0.247,7721.31,6870.09,714.61,136.61,251,0.162,0.5307836667354094,14278.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
29,Renata Glasc,EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.1,2022-06-10,2,Hang,SUPPORT,0,1,6,6.0,6,0.2,0.462,18,0.6,7465,243,0.127,2852.65,576.42,1994.23,282.0,93,0.06,0.3821366376423309,8324.23,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
30,Kayle,IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.1,2022-06-10,2,TheShy,TOP,1,8,1,0.3,2,0.06,0.667,270,8.4,11254,350,0.22399999999999998,19648.96,8466.36,8867.64,2314.96,611,0.285,1.7459534387773235,25646.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
