,Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,K+A,K+A Per Minute,KP%,CS,CSM,Golds,GPM,GOLD%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,DMG/GOLD,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,WPM,VWPM,WCPM,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
662,LeBlanc,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,icon,MID,2,4,1,0.8,3,0.08,0.375,299,7.9,13134,348,0.21600000000000003,12046.76,1199.85,10289.6,557.31,319,0.16,0.9172194304857622,21060.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
663,Lucian,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,Doggo,ADC,1,2,4,2.5,5,0.13,0.625,395,10.5,16516,437,0.272,28580.53,16800.4,8882.21,2897.92,756,0.379,1.7304752966820052,16104.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
664,Nami,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,Crisp,SUPPORT,0,2,6,3,6,0.16,0.75,16,0.4,8022,212,0.132,7866.93,1033.59,5872.96,960.38,208,0.10400000000000001,0.9806694091249065,8400.89,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
665,Camille,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,Wayward,TOP,3,1,7,10,10,0.26,0.667,281,7.4,15557,412,0.226,19241.98,10924.0,661.64,7656.34,509,0.22699999999999998,1.2368695763964774,23509.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
666,Viego,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,Tian,JUNGLE,3,3,7,3.3,10,0.26,0.667,203,5.4,12731,337,0.185,13932.71,11177.1,1136.17,1619.44,369,0.16399999999999998,1.0943924279318198,35187.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
667,Viktor,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,Knight,MID,2,0,9,Perfect KDA,11,0.29,0.733,328,8.7,14631,387,0.212,29518.23,508.13,28938.1,72.0,781,0.348,2.0175128152552797,13333.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
668,Kalista,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,JackeyLove,ADC,5,2,4,4.5,9,0.24,0.6,361,9.6,17019,450,0.247,17788.27,14053.5,2942.77,792.0,471,0.21,1.0452006580880193,15861.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
669,Renata Glasc,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,2,Mark,SUPPORT,2,2,9,5.5,11,0.29,0.733,24,0.6,9040,239,0.131,4310.12,736.65,3115.84,457.63,114,0.051,0.47678318584070795,14625.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
670,Gwen,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Zika,TOP,1,3,2,1,3,0.11,0.5,240,9.1,9886,376,0.228,4655.68,578.92,3002.99,1073.77,177,0.166,0.4709366781306899,18129.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
671,Viego,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,XUN,JUNGLE,2,5,3,1,5,0.19,0.833,142,5.4,8298,316,0.192,5986.87,5353.33,281.59,351.95,228,0.213,0.7214834899975898,23403.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
672,Taliyah,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Yuekai,MID,3,3,3,2,6,0.23,1.0,221,8.4,10104,385,0.233,8916.67,158.05,8683.62,75.0,339,0.318,0.8824891132224861,15405.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
673,Draven,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Wink,ADC,0,2,1,0.5,1,0.04,0.16699999999999998,247,9.4,9572,364,0.221,6576.52,6352.52,0.0,224.0,250,0.23399999999999999,0.6870580860844129,9929.54,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
674,Nautilus,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,XinLiu,SUPPORT,0,5,2,0.4,2,0.08,0.33299999999999996,29,1.1,5418,206,0.125,1932.08,275.7,1062.28,594.1,74,0.069,0.35660391288298265,13238.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
675,Kennen,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Flandre,TOP,6,4,6,3,12,0.46,0.667,267,10.2,14082,536,0.25,16482.78,2703.0,12969.4,810.38,628,0.281,1.1704857264593096,13773.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
676,Xin Zhao,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Jiejie,JUNGLE,0,1,11,11,11,0.42,0.611,151,5.7,8794,335,0.156,4975.95,4640.59,158.36,177.0,189,0.085,0.5658346599954515,19297.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
677,Viktor,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Scout,MID,0,0,11,Perfect KDA,11,0.42,0.611,243,9.3,11009,419,0.195,10118.95,51.06,9664.97,402.92,385,0.172,0.9191525115814334,6126.75,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
678,Zeri,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,Viper,ADC,12,0,4,Perfect KDA,16,0.61,0.889,262,10.0,15348,584,0.272,24151.48,14136.9,9252.11,762.47,919,0.41100000000000003,1.5735913474068282,6054.06,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
679,Braum,IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22,3,meiko,SUPPORT,0,1,13,13,13,0.49,0.722,27,1.0,7151,272,0.127,3001.41,253.13,2748.28,0.0,114,0.051,0.41971892043070896,7765.57,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
680,Gangplank,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Zdz,TOP,4,3,6,3.3,10,0.3,1.0,282,8.6,14458,440,0.259,30186.08,21293.6,7618.2,1274.28,919,0.45799999999999996,2.087846175127957,22879.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
681,Xin Zhao,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Xiaohao,JUNGLE,1,6,5,1.0,6,0.18,0.6,179,5.5,9600,292,0.172,5793.8,5237.24,312.17,244.39,176,0.08800000000000001,0.6035208333333334,29263.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
682,Ryze,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Forge,MID,1,4,4,1.3,5,0.15,0.5,285,8.7,11080,337,0.198,12214.66,1087.46,11081.2,46.0,372,0.185,1.1024061371841156,18808.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
683,Zeri,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Betty,ADC,2,5,7,1.8,9,0.27,0.9,301,9.2,13500,411,0.242,15169.43,9624.7,5153.69,391.04,462,0.23,1.1236614814814816,15335.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
684,Leona,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Qiuqiu,SUPPORT,2,3,5,2.3,7,0.21,0.7,33,1.0,7254,221,0.13,2539.19,575.74,1126.53,836.92,77,0.039,0.35003997794320374,18019.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
685,Kayle,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,fearness,TOP,6,2,9,7.5,15,0.46,0.7140000000000001,286,8.7,15597,475,0.237,14540.65,5891.94,7489.37,1159.34,443,0.179,0.9322722318394563,18303.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
686,Viego,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Shad0w,JUNGLE,8,1,8,16.0,16,0.49,0.762,199,6.1,13124,400,0.2,10497.31,7879.07,1859.47,758.77,320,0.129,0.7998559890277354,26908.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
687,Galio,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Haichao,MID,0,2,17,8.5,17,0.52,0.81,226,6.9,11141,339,0.16899999999999998,17953.23,35.33,17817.9,100.0,547,0.221,1.6114558836729198,18554.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
688,Jinx,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,Assum,ADC,6,1,9,15.0,15,0.46,0.7140000000000001,359,10.9,17601,536,0.268,33553.79,28894.0,2021.99,2637.8,1022,0.41200000000000003,1.9063570251690245,13315.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
689,Nautilus,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,1,jinjiao,SUPPORT,1,4,17,4.5,18,0.55,0.857,32,1.0,8272,252,0.126,4832.09,927.67,3244.42,660.0,147,0.059000000000000004,0.5841501450676982,14035.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
690,Gwen,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,xiaoxiang,TOP,2,1,4,6,6,0.22,0.5,258,9.3,11077,401,0.203,10293.33,2279.77,4991.57,3021.99,372,0.243,0.9292525051909362,22111.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
691,Xin Zhao,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,Beichuan,JUNGLE,1,0,5,Perfect KDA,6,0.22,0.5,210,7.6,10844,392,0.19899999999999998,6269.75,5847.41,256.34,166.0,227,0.14800000000000002,0.578176872002951,23851.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
692,Ahri,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,Ucal,MID,3,0,4,Perfect KDA,7,0.25,0.583,283,10.2,12122,439,0.223,6746.25,704.46,4669.52,1372.27,244,0.159,0.5565294505857119,4976.89,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
693,Tahm Kench,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,Southwind,ADC,2,0,7,Perfect KDA,9,0.33,0.75,173,6.3,10022,363,0.184,7311.95,887.85,5711.45,712.65,265,0.17300000000000001,0.7295899022151267,18914.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
694,Senna,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,Puff,SUPPORT,4,0,5,Perfect KDA,9,0.33,0.75,82,3.0,10376,375,0.191,11739.3,11431.3,0.0,308.0,425,0.27699999999999997,1.1313897455666924,8512.98,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
695,Gnar,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,Biubiu,TOP,1,3,0,0.3,1,0.04,1.0,250,9.0,10079,365,0.223,12667.19,9885.32,2781.87,0.0,458,0.27899999999999997,1.2567903561861296,18304.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
696,Viego,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,beishang,JUNGLE,0,3,0,0,0,0.0,0.0,168,6.1,7792,282,0.17300000000000001,4089.45,3401.05,257.4,431.0,148,0.09,0.5248267453798767,19955.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
697,Lissandra,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,xiye,MID,0,1,0,0,0,0.0,0.0,257,9.3,10120,366,0.22399999999999998,4426.02,330.0,4096.02,0.0,160,0.09699999999999999,0.4373537549407115,11266.7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
698,Ezreal,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,SmLz,ADC,0,3,0,0,0,0.0,0.0,291,10.5,11558,418,0.256,16451.73,9344.11,6034.28,1073.34,595,0.36200000000000004,1.4234062986675895,9245.34,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
699,Karma,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,1,heal,SUPPORT,0,2,0,0,0,0.0,0.0,13,0.5,5552,201,0.12300000000000001,7797.73,583.01,6839.15,375.57,282,0.172,1.404490273775216,6797.35,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,,,,,,,,,
700,Ornn,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,fearness,TOP,1,0,9,Perfect KDA,10,0.33,0.833,235,7.7,10951,359,0.188,6562.69,2236.55,4326.14,0.0,215,0.14300000000000002,0.5992776915350196,13487.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
701,Viego,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Shad0w,JUNGLE,3,1,8,11,11,0.36,0.917,196,6.4,11603,381,0.19899999999999998,7130.21,5719.44,1255.77,155.0,234,0.156,0.6145143497371369,20925.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
702,LeBlanc,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Haichao,MID,2,0,8,Perfect KDA,10,0.33,0.833,274,9.0,11795,387,0.20199999999999999,12900.22,760.92,12139.3,0.0,423,0.282,1.093702416278084,9885.62,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
703,Jinx,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Assum,ADC,6,0,3,Perfect KDA,9,0.3,0.75,340,11.2,16479,541,0.28300000000000003,18134.13,15207.2,970.01,1956.92,595,0.396,1.100438740214819,10581.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
704,Nautilus,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,jinjiao,SUPPORT,0,0,10,Perfect KDA,10,0.33,0.833,34,1.1,7427,244,0.127,1028.35,153.03,667.32,208.0,34,0.022000000000000002,0.13846102060051163,5121.25,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
705,Gwen,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Zdz,TOP,0,3,0,0,0,0.0,0.0,236,7.7,9576,314,0.213,9790.29,782.64,5371.01,3636.64,321,0.33,1.0223778195488722,17781.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
706,Lee Sin,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Xiaohao,JUNGLE,0,2,1,0.5,1,0.03,1.0,146,4.8,7782,255,0.17300000000000001,2052.32,1763.34,191.48,97.5,67,0.069,0.2637265484451298,16927.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
707,Corki,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Forge,MID,1,2,0,0.5,1,0.03,1.0,294,9.6,11177,367,0.248,9901.09,1041.29,8562.98,296.82,325,0.33399999999999996,0.8858450389192091,11075.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
708,Zeri,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Betty,ADC,0,2,0,0,0,0.0,0.0,295,9.7,10911,358,0.242,6075.38,3688.38,2387.0,0.0,199,0.205,0.5568123911648795,9228.34,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
709,Braum,AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23,2,Qiuqiu,SUPPORT,0,3,0,0,0,0.0,0.0,31,1.0,5600,184,0.124,1840.85,0.0,1640.85,200.0,60,0.062,0.32872321428571427,10990.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
710,Gwen,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Biubiu,TOP,0,2,0,0,0,0.0,0.0,250,8.8,9476,333,0.212,7679.14,1943.17,3698.9,2037.07,270,0.226,0.810377796538624,20579.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
711,Xin Zhao,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,beishang,JUNGLE,2,3,1,1,3,0.11,1.0,158,5.6,8350,293,0.187,4128.94,3652.58,210.86,265.5,145,0.122,0.4944838323353293,19632.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
712,LeBlanc,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,xiye,MID,1,1,2,3,3,0.11,1.0,223,7.8,9983,351,0.223,11169.5,931.5,10238.0,0.0,393,0.32899999999999996,1.11885204848242,17063.9,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
713,Zeri,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,SmLz,ADC,0,1,1,1,1,0.04,0.33299999999999996,315,11.1,11250,395,0.252,7932.01,3586.04,4345.97,0.0,279,0.23399999999999999,0.7050675555555556,12937.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
714,Yuumi,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,heal,SUPPORT,0,1,3,3,3,0.11,1.0,5,0.2,5627,198,0.126,3017.16,406.49,2190.67,420.0,106,0.08900000000000001,0.5361933534743202,3519.34,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
715,Gnar,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,xiaoxiang,TOP,0,0,6,Perfect KDA,6,0.21,0.75,259,9.1,11103,390,0.21,13990.06,12146.4,1843.66,0.0,492,0.262,1.260025218409439,15750.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
716,Viego,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Beichuan,JUNGLE,2,1,5,7,7,0.25,0.875,197,6.9,10276,361,0.195,6672.22,4482.71,1405.8,783.71,235,0.125,0.6493012845465161,20887.5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
717,Azir,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Ucal,MID,2,1,3,5,5,0.18,0.625,268,9.4,11559,406,0.21899999999999997,11736.67,1208.37,10528.3,0.0,413,0.22,1.0153707068085474,10787.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
718,Jinx,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Puff,ADC,2,0,4,Perfect KDA,6,0.21,0.75,317,11.1,12779,449,0.242,18710.12,14983.4,1910.49,1816.23,658,0.35100000000000003,1.4641302136317396,7834.32,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
719,Lulu,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Southwind,SUPPORT,2,1,5,7,7,0.25,0.875,12,0.4,7046,248,0.134,2241.72,279.32,1654.4,308.0,79,0.042,0.3181549815498155,4991.66,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
720,Gwen,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,369,TOP,3,2,8,5.5,11,0.38,0.611,288,9.9,13645,469,0.23,17997.25,2262.28,9898.89,5836.08,619,0.233,1.318962990106266,20333.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
721,Viego,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Kanavi,JUNGLE,9,1,7,16,16,0.55,0.889,207,7.1,13895,478,0.23399999999999999,15930.1,12703.0,1922.1,1305.0,548,0.20600000000000002,1.1464627563871896,28367.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
722,Ryze,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Yagao,MID,2,1,9,11,11,0.38,0.611,290,10.0,12599,433,0.212,12278.58,706.78,11537.8,34.0,422,0.159,0.9745678228430827,19090.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
723,Ezreal,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Hope,ADC,3,2,11,7,14,0.48,0.778,241,8.3,11874,408,0.2,23827.36,16884.0,5971.36,972.0,819,0.309,2.006683510190332,14881.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
724,Leona,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Missing,SUPPORT,1,0,9,Perfect KDA,10,0.34,0.556,37,1.3,7359,253,0.124,7122.56,3200.0,3116.56,806.0,245,0.092,0.9678706345970921,15491.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
725,Gnar,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Zoom,TOP,1,3,2,1,3,0.1,0.5,287,9.9,11498,395,0.24100000000000002,11007.92,8981.81,1834.11,192.0,378,0.17600000000000002,0.9573769351191511,24367.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
726,Trundle,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,H4cker,JUNGLE,2,4,3,1.3,5,0.17,0.833,103,3.5,7724,266,0.162,7567.99,4972.25,1783.74,812.0,260,0.121,0.9798019161056447,29039.8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
727,Corki,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Cryin,MID,1,2,3,2,4,0.14,0.667,285,9.8,11521,396,0.24100000000000002,20304.73,2523.43,17004.0,777.3,698,0.325,1.7624103810433123,12735.6,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
728,Xayah,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,Elk,ADC,2,4,2,1,4,0.14,0.667,273,9.4,11267,387,0.23600000000000002,19738.47,18318.4,1348.07,72.0,679,0.316,1.7518833762314725,13594.1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
729,Alistar,JD Gaming vs Ultra Prime,JD Gaming,2 - 1,Ultra Prime,WEEK3,12.11,2022-06-24,1,ShiauC,SUPPORT,0,5,3,0.6,3,0.1,0.5,30,1.0,5758,198,0.121,3855.88,638.98,2414.9,802.0,133,0.062,0.6696561306009031,14968.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
730,Gragas,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,shanji,TOP,4,0,5,Perfect KDA,9,0.36,0.643,212,8.6,10509,425,0.22,9807.84,419.67,9058.31,329.86,397,0.217,0.9332800456751356,13178.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
731,Viego,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,AKi,JUNGLE,3,0,6,Perfect KDA,9,0.36,0.643,143,5.8,9308,376,0.195,5190.82,4590.93,506.5,93.39,210,0.115,0.5576729694886119,19956.4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
732,Sylas,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,Creme,MID,1,1,6,7,7,0.28,0.5,219,8.9,9894,400,0.207,14855.35,2265.45,12589.9,0.0,601,0.32799999999999996,1.5014503739640186,16960.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
733,Samira,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,Able,ADC,5,1,7,12,12,0.49,0.857,221,8.9,11539,467,0.242,11319.18,9593.48,1725.7,0.0,458,0.25,0.9809498223416241,6126.18,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
734,Nautilus,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,cold,SUPPORT,1,2,8,4.5,9,0.36,0.643,31,1.3,6472,262,0.136,4085.2,743.64,2482.98,858.58,165,0.09,0.6312113720642769,6844.24,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
735,Gnar,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,Ale,TOP,0,2,0,0,0,0.0,0.0,221,8.9,9251,374,0.223,6427.73,6051.81,375.92,0.0,260,0.172,0.6948146146362555,12723.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
736,Lee Sin,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,Tarzan,JUNGLE,1,2,2,1.5,3,0.12,0.75,140,5.7,7762,314,0.187,4714.41,4108.23,410.18,196.0,191,0.126,0.6073705230610668,17832.2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
737,Ryze,OMG vs LNG Esports,OMG,2 - 1,LNG Esports,WEEK3,12.11,2022-06-24,1,Doinb,MID,2,2,1,1.5,3,0.12,0.75,256,10.4,9847,398,0.237,17611.46,1153.36,15938.1,520.0,712,0.473,1.7885102061541585,11464.3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
