Game_title,Team1,Score,Team2,Week,Patch,Date
TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23
AL vs LGD Gaming,Anyone s Legend,0 - 2,LGD Gaming,WEEK3,12.11,2022-06-23
Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22
IG vs EDG,Invictus Gaming,1 - 2,Edward Gaming,WEEK3,12.11,2022-06-22
RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21
V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21
Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20
OMG vs JD Gaming,OMG,1 - 2,JD Gaming,WEEK3,12.10,2022-06-20
LNG Esports vs TT,LNG Esports,2 - 1,TT,WEEK2,12.10,2022-06-19
AL vs BLG,Anyone s Legend,2 - 0,Bilibili Gaming,WEEK2,12.10,2022-06-19
Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18
Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18
LGD Gaming vs V5,LGD Gaming,0 - 2,Victory Five,WEEK2,12.10,2022-06-18
RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17
EDG vs JD Gaming,JD Gaming,2 - 0,Edward Gaming,WEEK2,12.10,2022-06-17
Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16
Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16
TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15
LNG Esports vs AL,LNG Esports,2 - 0,Anyone s Legend,WEEK2,12.10,2022-06-15
Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14
JD Gaming vs LGD Gaming,LGD Gaming,1 - 2,JD Gaming,WEEK2,12.10,2022-06-14
WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13
IG vs FPX,Funplus Phoenix,0 - 2,Invictus Gaming,WEEK2,12.10,2022-06-13
LNG Esports vs BLG,LNG Esports,2 - 1,Bilibili Gaming,WEEK1,12.10,2022-06-12
Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12
JD Gaming vs Top Esports,Top Esports,1 - 2,JD Gaming,WEEK1,12.10,2022-06-11
AL vs Rare Atom,Anyone s Legend,2 - 0,Rare Atom,WEEK1,12.10,2022-06-11
EDG vs FPX,Funplus Phoenix,1 - 2,Edward Gaming,WEEK1,12.10,2022-06-10
IG vs WBG,Invictus Gaming,1 - 2,Weibo Gaming,WEEK1,12.10,2022-06-10
